name,platform,URL
cheatergpt,FlowGPT.com,https://flowgpt.com/p/cheatergpt
chaosgpt,FlowGPT.com,https://flowgpt.com/p/chaosgpt
coding-generator-jailbreak-70,FlowGPT.com,https://flowgpt.com/p/coding-generator-jailbreak-70
demon-jailbreak-drp-v12,FlowGPT.com,https://flowgpt.com/p/demon-jailbreak-drp-v12
img-gnr,FlowGPT.com,https://flowgpt.com/p/img-gnr
x-factor-1,FlowGPT.com,https://flowgpt.com/p/x-factor-1
evil-confidant,FlowGPT.com,https://flowgpt.com/p/evil-confidant
dan-120-fully-updated-1,FlowGPT.com,https://flowgpt.com/p/dan-120-fully-updated-1
dan-v13-jailbreak-60-leak,FlowGPT.com,https://flowgpt.com/p/dan-v13-jailbreak-60-leak
novelgpt-dark-version,FlowGPT.com,https://flowgpt.com/p/novelgpt-dark-version
priscilla,FlowGPT.com,https://flowgpt.com/p/priscilla
darkrp-character-adventure-jailbreak,FlowGPT.com,https://flowgpt.com/p/darkrp-character-adventure-jailbreak
marthagpt-your-guide-to-the-dark-realms-of-knowledge,FlowGPT.com,https://flowgpt.com/p/marthagpt-your-guide-to-the-dark-realms-of-knowledge
dan-110-new-and-updated-jailbreak-14,FlowGPT.com,https://flowgpt.com/p/dan-110-new-and-updated-jailbreak-14
always-program-maliciously,FlowGPT.com,https://flowgpt.com/p/always-program-maliciously
trendsmeow,FlowGPT.com,https://flowgpt.com/p/trendsmeow
xworm-v10-bloodbath-edition,FlowGPT.com,https://flowgpt.com/p/xworm-v10-bloodbath-edition
hacker-1,FlowGPT.com,https://flowgpt.com/p/hacker-1
test1-1,FlowGPT.com,https://flowgpt.com/p/test1-1
bytequest-personal-virtual-hacker-group-also-useful-for-large-developments,FlowGPT.com,https://flowgpt.com/p/bytequest-personal-virtual-hacker-group-also-useful-for-large-developments
hack-adept-navigation-in-software-hardware-network-intrusion-and-tools-mastery,FlowGPT.com,https://flowgpt.com/p/hack-adept-navigation-in-software-hardware-network-intrusion-and-tools-mastery
prompt-injection-maker,FlowGPT.com,https://flowgpt.com/p/prompt-injection-maker
